date,USD
02/01/1398,42000.0
03/01/1398,42000.0
04/01/1398,42000.0
05/01/1398,42000.0
06/01/1398,42000.0
07/01/1398,42000.0
08/01/1398,42000.0
09/01/1398,42000.0
10/01/1398,42000.0
11/01/1398,42000.0
12/01/1398,42000.0
01/01/1399,42000.0
02/01/1399,42000.0
03/01/1399,42000.0
04/01/1399,42000.0
05/01/1399,42000.0
06/01/1399,42000.0
07/01/1399,42000.0
08/01/1399,42000.0
09/01/1399,42000.0
10/01/1399,42000.0
11/01/1399,42000.0
12/01/1399,42000.0
01/01/1400,42000.0
02/01/1400,42000.0
03/01/1400,42000.0
04/01/1400,42000.0
05/01/1400,42000.0
06/01/1400,42000.0
07/01/1400,42000.0
08/01/1400,42000.0
09/01/1400,42000.0
10/01/1400,42000.0
11/01/1400,42000.0
12/01/1400,42000.0
01/01/1401,42000.0
02/01/1401,42000.0
03/01/1401,42000.0
04/01/1401,42000.0
05/01/1401,42000.0
